Student_ID,Age,Gender,Study_Hours,Attendance_Percent,Assignments_Completed,Previous_Score,Exam_Score
1,21,Female,4.7,74.5,4,67.3,59.7
2,22,Male,4.4,70.8,10,78.1,69.6
3,20,Male,5.8,84.0,5,59.2,62.9
4,22,Female,2.9,85.1,7,91.5,78.7
5,22,Female,2.7,93.9,8,42.2,61.4
6,19,Female,2.2,65.4,3,63.0,49.8
7,20,Male,2.5,77.5,7,93.2,63.8
8,20,Female,4.7,80.7,8,70.1,70.1
9,20,Male,3.8,89.6,6,63.3,60.3
10,22,Male,1.5,57.0,7,71.3,50.2
11,21,Female,2.8,99.8,9,71.7,65.9
12,20,Female,2.7,76.1,3,80.2,66.5
13,22,Male,5.9,67.6,8,47.0,60.1
14,19,Male,6.0,94.8,8,53.8,69.5
15,21,Female,2.0,88.6,8,71.9,58.1
16,19,Female,8.0,74.1,6,87.7,84.5
17,21,Female,2.9,69.9,7,70.9,58.1
18,22,Male,7.8,79.9,6,53.1,72.0
19,18,Male,3.9,80.8,10,77.4,70.1
20,21,Male,1.2,99.1,4,80.7,53.8
21,19,Male,3.4,58.4,4,53.1,41.6
22,22,Male,5.4,68.8,10,60.8,73.2
23,21,Male,5.8,63.6,7,69.4,67.1
24,18,Female,4.7,67.1,9,67.3,70.8
25,18,Male,4.1,76.8,6,61.4,65.9
26,20,Male,4.9,71.8,3,56.4,58.0
27,20,Male,5.1,72.8,8,45.5,56.2
28,19,Female,1.6,93.0,8,42.9,57.0
29,21,Male,4.7,96.9,7,92.7,84.0
30,21,Male,2.7,58.2,9,86.6,62.2
31,20,Female,6.6,64.4,4,59.5,64.7
32,21,Male,4.3,85.2,4,92.6,71.3
33,21,Male,7.9,71.1,8,77.2,87.2
34,18,Male,3.8,66.4,7,66.5,57.8
35,20,Male,6.7,68.3,6,67.1,75.5
36,22,Male,6.6,69.5,4,44.6,58.1
37,20,Female,2.1,93.2,6,45.0,51.8
38,22,Female,4.6,61.1,9,73.1,67.8
39,18,Female,5.9,86.9,4,70.5,72.1
40,19,Male,7.0,79.9,4,51.7,75.8
41,21,Male,3.3,68.3,5,92.0,66.4
42,18,Male,2.5,73.9,4,83.0,60.6
43,21,Female,6.0,66.5,10,46.2,74.7
44,19,Male,6.7,82.5,3,91.2,79.4
45,19,Male,3.4,58.7,10,93.6,67.2
46,18,Female,1.7,55.2,7,94.8,66.6
47,19,Male,7.6,74.1,7,43.1,67.4
48,22,Female,3.8,63.7,6,80.5,59.9
49,19,Female,4.6,58.2,10,70.0,62.8
50,21,Female,6.9,72.9,10,78.8,76.5
51,21,Male,5.7,57.3,10,93.3,78.9
52,21,Male,6.1,94.9,9,77.8,81.6
53,21,Male,2.5,56.2,4,86.0,38.1
54,22,Male,4.8,81.0,3,87.7,67.5
55,20,Male,5.9,74.7,6,86.1,72.0
56,18,Male,2.6,85.2,10,63.4,70.7
57,21,Male,2.2,69.8,10,52.2,54.4
58,19,Female,7.9,62.0,5,61.8,81.4
59,21,Male,4.6,99.2,6,89.1,85.2
60,19,Female,2.8,92.8,10,48.1,62.4
61,19,Male,8.0,93.7,6,68.2,87.0
62,21,Male,7.8,66.3,4,52.8,68.0
63,22,Male,4.9,56.7,5,72.0,61.8
64,19,Female,7.2,68.6,6,87.5,81.5
65,19,Female,4.7,79.2,3,88.4,60.8
66,21,Female,3.0,69.7,3,53.0,50.7
67,19,Female,5.9,92.3,7,89.9,86.3
68,19,Male,6.9,67.2,5,72.6,80.4
69,21,Female,7.0,98.4,5,59.3,76.5
70,21,Male,3.8,75.6,7,78.9,65.2
71,18,Male,7.2,92.9,6,66.5,67.9
72,22,Female,7.0,63.7,5,60.8,75.8
73,22,Female,7.5,73.5,3,78.8,71.4
74,19,Female,6.5,86.5,3,53.7,68.3
75,22,Female,5.7,61.2,10,58.2,77.4
76,19,Female,5.1,61.0,4,63.9,59.7
77,18,Female,3.6,98.6,5,54.0,61.9
78,21,Female,7.6,87.2,6,62.3,83.5
79,21,Female,7.8,56.8,7,71.4,75.1
80,21,Male,3.0,72.9,7,80.8,67.7
81,22,Female,3.1,74.5,6,82.2,56.8
82,18,Female,4.4,88.5,9,85.3,84.0
83,22,Male,4.1,66.3,8,80.9,69.8
84,22,Female,8.0,63.3,4,77.5,65.7
85,18,Male,2.2,58.6,7,53.1,52.3
86,18,Male,1.1,74.3,5,62.0,40.1
87,18,Female,4.5,86.0,4,66.3,76.1
88,18,Male,2.3,57.6,5,44.6,38.9
89,21,Male,3.6,96.2,9,69.1,80.7
90,20,Male,6.2,74.9,3,64.0,60.4
91,20,Male,14.0,65.8,4,84.1,71.7
92,18,Female,3.2,35.0,10,93.8,65.4
93,20,Male,4.8,63.2,7,70.6,69.7
94,20,Female,4.6,97.1,4,57.7,64.0
95,18,Male,5.5,83.7,4,42.4,62.1
96,20,Male,2.8,78.3,4,90.9,64.2
97,22,Male,5.1,84.6,8,90.6,72.4
98,19,Male,7.9,74.6,4,53.9,70.9
99,19,Female,4.4,87.9,5,78.2,67.1
100,18,Female,7.3,57.1,3,44.1,62.3
